SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
519295,BAMBINO AGRO,X ,Q,220.00,227.00,216.00,223.60,223.60,219.70,313,13137,2953359.00,
519307,VIKAS WSP   ,B ,Q,3.91,3.91,3.85,3.86,3.86,3.84,38,30913,119546.00,
519319,JATALIA     ,XT,Q,5.23,5.23,5.23,5.23,5.23,5.23,3,5,26.00,
519359,POONA DAL   ,X ,Q,40.70,41.00,39.00,39.35,39.00,39.90,42,1706,67318.00,
519367,TRANSGL.FOOD,X ,Q,213.35,213.35,213.35,213.35,213.35,203.20,10,83,17708.00,
519383,ANIK INDS   ,B ,Q,15.69,15.69,15.09,15.21,15.09,15.05,5,136,2068.00,
519397,SHARAT INDUS,XT,Q,27.35,27.35,24.75,27.25,27.25,26.05,17,527,13102.00,
519421,KSE LIMITED ,XT,Q,2303.00,2385.00,2245.00,2376.85,2376.85,2298.10,249,3186,7502220.00,
519455,NARBADA     ,XT,Q,31.35,32.90,31.00,32.90,32.90,31.35,15,595,18773.00,
519457,VIRAT CRANE ,X ,Q,23.00,26.45,22.15,23.35,23.35,22.20,42,3120,71632.00,
519463,IB INFOTECH ,XT,Q,15.30,15.30,15.30,15.30,15.30,15.35,2,112,1713.00,
519475,CHORDIA FOOD,X ,Q,100.50,100.50,95.10,95.10,95.10,100.05,3,347,34738.00,
519477,CIANAGRO    ,XT,Q,33.05,33.05,32.05,32.05,32.05,33.70,11,853,27911.00,
519483,TAI INDUST. ,XT,Q,11.02,11.65,11.02,11.65,11.65,11.15,6,445,4914.00,
519500,BKV INDUSTRS,XT,Q,4.00,4.00,3.92,3.92,3.92,4.00,5,237,932.00,
519532,ASIAN TEA   ,X ,Q,19.10,20.95,19.00,20.10,20.00,19.05,72,119854,2418790.00,
519552,HERITGFOOD  ,A ,Q,277.00,281.00,276.30,279.55,280.00,276.30,324,6450,1802119.00,
519566,SIMRAN FARMS,X ,Q,69.00,71.90,65.85,68.00,69.20,66.75,69,7716,526536.00,
519588,DFM FOODS   ,A ,Q,396.40,413.90,396.40,401.30,403.90,397.80,925,13680,5565880.00,
519600,CCL PRODUCTS,A ,Q,240.40,241.85,237.50,238.40,239.80,240.10,545,7573,1811295.00,
519602,KELLTONTEC  ,B ,Q,80.10,83.20,80.10,82.75,82.55,82.55,176,20780,1715694.00,
519604,SURYO FOODS ,XT,Q,6.50,6.50,6.50,6.50,6.50,6.50,2,37,240.00,
519612,MAHAAN FOODS,X ,Q,19.15,20.45,18.05,19.00,18.35,19.15,19,926,18232.00,
520008,RICO AUTO   ,A ,Q,37.30,38.10,37.25,37.45,37.55,37.25,158,31154,1170302.00,
520021,OMAX AUTOS. ,B ,Q,46.00,49.00,46.00,49.00,49.00,48.65,102,10633,520860.00,
520043,MUNJAL SHOWA,B ,Q,163.00,167.80,160.50,162.00,160.50,162.60,217,5126,845951.00,
520051,JAMNA AUTO  ,A ,Q,70.30,71.70,69.40,69.95,70.15,70.15,931,152075,10744678.00,
520056,SUNDAR.CLAY ,A ,Q,3785.05,3825.35,3736.55,3781.65,3746.30,3784.50,98,201,759032.00,
520057,JTEKTINDIA  ,A ,Q,91.40,95.80,90.20,92.25,92.25,89.90,1725,181224,16867205.00,
520059,MUNAUTO     ,B ,Q,60.30,61.40,59.90,60.35,60.25,59.90,230,22745,1380702.00,
520066,JAYBH.MARUTI,B ,Q,254.85,258.75,254.85,258.00,258.00,255.10,61,1438,370899.00,
520073,RACLGEAR    ,X ,Q,233.30,239.00,228.10,232.35,232.00,229.50,241,14414,3349304.00,
520075,SAMKRG PIST.,X ,Q,163.85,163.85,156.00,157.10,157.10,158.15,171,12190,1935432.00,
520086,SICAL LOG   ,B ,Q,18.60,18.95,17.30,17.85,17.85,18.05,641,200555,3635168.00,
520111,RATNAMNI MET,A ,Q,1641.00,1650.00,1615.15,1640.95,1639.55,1615.05,416,2588,4229189.00,
520113,VESUVIUS IND,A ,Q,1064.00,1068.65,1046.20,1046.75,1046.25,1061.00,46,195,206268.00,
520119,AUTOMOTIVE S,T ,Q,46.30,46.30,43.00,43.15,43.00,44.65,35,9104,401790.00,
520121,ARCEE INDUST,XT,Q,5.97,6.45,5.85,5.85,5.85,6.15,15,1366,8155.00,
520123,ABC INDIA   ,X ,Q,58.95,59.70,56.00,56.35,57.00,58.95,26,1358,77423.00,
520127,BALURGHAT TE,X ,Q,8.69,8.98,8.00,8.49,8.49,8.29,26,5965,48772.00,
520131,COASTAL ROAD,P ,Q,13.49,14.91,13.49,14.91,14.91,14.20,5,800,11786.00,
520141,SIBAR AUTO  ,X ,Q,7.79,8.00,7.79,7.98,7.98,8.19,6,5027,39161.00,
520151,SHREY SH LOG,B ,Q,77.50,86.00,77.50,84.90,84.90,79.90,441,15618,1308275.00,
520155,STARLOG     ,X ,Q,15.35,15.35,12.65,12.65,12.65,14.05,36,6422,81532.00,
521016,INDO COUNT  ,A ,Q,130.05,130.80,125.50,128.85,128.85,129.05,1857,128349,16529070.00,
