Date,Open,High,Low,Close,% Return,% YTD
2014-12-18,10400.82,10508.31,10394.71,10494.31,2.0143694669726653,83.63179665933254
2014-12-19,10549.37,10624.98,10545.57,10560.47,0.6304368748397904,82.48136683310496
2014-12-22,10592.0,10681.62,10574.72,10674.44,1.0792133304673213,80.53303030416583
2014-12-23,10684.2,10732.21,10594.46,10610.96,-0.5946916184830453,81.61306799761756
2014-12-24,10622.29,10637.84,10518.27,10538.25,-0.6852348892088855,82.86613052451781
2014-12-26,10546.46,10602.47,10505.75,10562.71,0.23210684886010302,82.44266859546462
2014-12-29,10579.71,10669.27,10579.66,10636.32,0.696885553044635,81.180050995081
2014-12-30,10662.61,10671.09,10622.32,10662.5,0.24613776193269654,80.73519343493551
2014-12-31,10654.19,10730.87,10651.47,10721.62,0.5544665885111488,79.73860293500421
2015-01-01,10720.05,10757.8,10697.79,10744.62,0.2145198206987331,79.35385337033789
2015-01-02,10752.12,10895.53,10752.06,10866.41,1.1334975085205423,77.34366731974957
2015-01-05,10894.6,10939.57,10836.45,10854.03,-0.11392907133082053,77.54594376466619
2015-01-06,10812.48,10812.98,10521.55,10538.67,-2.9054646062338207,82.85884271924256
2015-01-07,10539.01,10580.36,10457.44,10522.96,-0.14907004394293377,83.13183742977262
2015-01-08,10609.89,10696.28,10609.89,10688.99,1.5777879988140286,80.28728626371621
2015-01-09,10737.32,10779.18,10648.66,10731.21,0.39498586863677687,79.577978624964
2015-01-12,10756.82,10798.07,10699.89,10789.73,0.5453252708688128,78.60400584630014
2015-01-13,10805.59,10839.77,10728.86,10767.46,-0.2063999747908496,78.973406913051
2015-01-14,10774.03,10817.67,10705.43,10748.22,-0.17868652402701635,79.29378073764772
2015-01-15,10902.12,11017.55,10879.3,10975.37,2.1133731910958353,75.58305551430155
2015-01-16,10970.48,11033.55,10939.52,11013.09,0.34367861857960147,74.9816808906492
2015-01-19,11053.71,11100.95,11053.36,11067.17,0.4910520117423989,74.12662857803755
2015-01-20,11093.03,11214.33,11092.77,11201.75,1.2160290300049503,72.03463744504207
2015-01-21,11224.29,11263.72,11188.01,11225.88,0.2154127703260622,71.66484943719335
2015-01-22,11250.56,11295.18,11226.22,11270.57,0.3980979664846007,70.9841649535028
2015-01-23,11336.4,11388.82,11296.22,11343.2,0.6444217107032024,69.88936102687072
2015-01-27,11394.87,11453.96,11347.21,11439.15,0.8458812328090648,68.46435268354729
2015-01-28,11442.99,11537.24,11408.67,11455.35,0.14161891399273596,68.22611268970394
2015-01-29,11446.24,11490.39,11402.21,11474.52,0.16734538883578232,67.9450643687056
2015-01-30,11529.97,11544.4,11302.01,11346.24,-1.1179552608736598,69.8438425416702
2015-02-02,11348.93,11393.54,11306.88,11353.84,0.06698254223425071,69.73015297027261
2015-02-03,11393.78,11408.7,11278.73,11299.26,-0.48071841773356105,70.55001831978376
2015-02-04,11343.55,11345.88,11231.8,11252.23,-0.4162219472779727,71.26285189691288
2015-02-05,11264.62,11363.53,11170.04,11203.24,-0.4353803646032772,72.011757313063
2015-02-06,11217.7,11229.12,11108.03,11128.09,-0.6707880934443966,73.17338375228812
2015-02-09,11083.38,11083.38,10947.55,10962.32,-1.4896536602417854,75.79207685964285
2015-02-10,10936.22,11119.52,10899.34,11019.09,0.5178648315320222,74.8864016901577
2015-02-11,11053.28,11146.8,11051.78,11132.06,1.025220775944291,73.11162534158098
2015-02-12,11177.33,11260.9,11130.78,11250.45,1.0635048679220382,71.28994840206391
2015-02-13,11287.75,11371.91,11278.53,11354.29,0.9229853028101198,69.72342612351805
2015-02-16,11387.88,11436.61,11333.11,11352.63,-0.01462002467791379,69.7482433585874
2015-02-18,11361.6,11454.09,11360.74,11431.21,0.6921744124489315,68.5813662770608
2015-02-19,11470.78,11487.25,11340.38,11456.73,0.22324845751238165,68.20584931302388
2015-02-20,11465.2,11471.7,11379.78,11404.63,-0.4547545416536902,68.97426746856321
2015-02-23,11439.54,11455.36,11280.59,11304.08,-0.881659466374618,70.47729669287548
2015-02-24,11320.12,11345.37,11264.08,11306.81,0.024150572182790597,70.43613539097235
2015-02-25,11346.7,11399.44,11287.0,11302.41,-0.03891460102363187,70.5024857530385
2015-02-26,11316.33,11322.23,11183.3,11206.23,-0.8509689526393083,71.96586184649074
