DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
12022021,504180,895,23359,895,23359,100.0
12022021,504212,4986,691808,7400,1027810,67.38
12022021,504220,1234,4702,1234,4552,100.0
12022021,504240,1750,65450,1750,65355,100.0
12022021,504258,3799,1182059,6985,2128832,54.39
12022021,504273,2621,18347,2629,18290,99.7
12022021,504286,400,10260,20438,539310,1.96
12022021,504335,1853695,463423,1853695,463423,100.0
12022021,504341,3894,139016,4117,151800,94.58
12022021,504356,1,9,1,9,100.0
12022021,504378,1071,2420,1071,2420,100.0
12022021,504392,1,11,1,11,100.0
12022021,504398,50,630,50,630,100.0
12022021,504605,50,20050,150,60132,33.33
12022021,504614,4577,1740634,6356,2423796,72.01
12022021,504646,6,759,6,753,100.0
12022021,504697,510,714,510,714,100.0
12022021,504741,8181,1551118,13263,2518114,61.68
12022021,504786,1052,229862,1202,260944,87.52
12022021,504810,110,2227,110,2226,100.0
12022021,504840,260,309426,428,500305,60.75
12022021,504879,7147,165454,10146,235680,70.44
12022021,504882,56,30239,56,30239,100.0
12022021,504908,115,12938,115,13587,100.0
12022021,504918,9684,9589581,14305,14371166,67.7
12022021,504959,90,180707,91,182532,98.9
12022021,504961,6405,290234,6405,290234,100.0
12022021,504966,36616,6389492,106290,18683697,34.45
12022021,504973,657,359708,783,428035,83.91
12022021,505010,52298,60867028,55276,64132915,94.61
12022021,505036,595,278520,891,414830,66.78
12022021,505075,34026,547139,46133,758194,73.76
12022021,505141,5059,151733,5059,151733,100.0
12022021,505160,16880,3366716,25146,5041699,67.13
12022021,505163,1868,786709,2532,1043999,73.78
12022021,505192,332,167013,483,244503,68.74
12022021,505196,516,92674,822,145527,62.77
12022021,505200,43026,119580011,273467,765685038,15.73
12022021,505216,41,22225,50,27103,82.0
12022021,505232,192,156317,235,190592,81.7
12022021,505242,2244,1936797,2921,2514280,76.82
12022021,505250,594,27918,596,28034,99.66
12022021,505255,891,3295943,1429,5339497,62.35
12022021,505283,33585,7197266,44672,9628807,75.18
12022021,505299,1003,85907,1004,86082,99.9
12022021,505302,1564,78044,1724,85674,90.72
12022021,505324,185,2278,185,2250,100.0
12022021,505355,6135,3774866,28656,17292847,21.41
12022021,505358,9540,287631,14952,446703,63.8
12022021,505368,108,62748,158,92888,68.35
12022021,505400,14158,1020084,24778,1782769,57.14
12022021,505412,24,76436,29,92684,82.76
12022021,505509,335,59078,4493,795131,7.46
12022021,505523,2251,1508,2251,1508,100.0
12022021,505526,8828,511142,19329,1127867,45.67
12022021,505533,846,388695,1301,600644,65.03
12022021,505537,518443,110169138,2682404,578581054,19.33
12022021,505576,4,280,4,280,100.0
12022021,505590,51366,3649803,51366,3649803,100.0
12022021,505650,5009,31557,5009,30542,100.0
12022021,505681,678,219232,683,217825,99.27
12022021,505688,29311,2482642,53782,4623900,54.5
12022021,505690,14,1245,15,1334,93.33
12022021,505693,1000,43950,1025,43403,97.56
12022021,505700,128209,7186115,277829,15842915,46.15
12022021,505710,445011,19580484,608315,26914121,73.15
12022021,505711,412,1231,412,1231,100.0
12022021,505712,6748,493954,9162,664883,73.65
12022021,505714,8938,1027424,15809,1824437,56.54
12022021,505720,2508,308610,3462,430795,72.44
12022021,505725,466,62771,466,62770,100.0
12022021,505726,1128,1503512,3043,4086503,37.07
12022021,505729,20565,838024,25385,1041794,81.01
12022021,505737,556,97356,592,103872,93.92
12022021,505744,52034,16018667,114858,34504096,45.3
12022021,505750,184,125120,193,131090,95.34
12022021,505790,965,4766521,1518,7525567,63.57
12022021,505800,746,441409,1212,724155,61.55
12022021,505827,1420,299123,1604,340411,88.53
12022021,505840,1200,9720,1200,9720,100.0
12022021,505850,7543,449940,7763,469698,97.17
12022021,505854,4203,437533,6812,710463,61.7
12022021,505872,12333,8081199,15431,9992167,79.92
12022021,505890,308,296050,322,310283,95.65
12022021,505893,1466,181638,1476,182634,99.32
12022021,505978,1259,1387796,1320,1474791,95.38
12022021,506022,35389,1817226,61120,3152129,57.9
12022021,506074,28993,992053,28993,992053,100.0
12022021,506076,3089,2685886,4054,3555654,76.2
12022021,506079,200,987,200,987,100.0
12022021,506105,854,67466,1215,92182,70.29
12022021,506109,585,38622,585,38622,100.0
12022021,506122,215,9329,215,9329,100.0
12022021,506128,1165,39960,1410,47823,82.62
12022021,506146,1826559,1839583,1826559,1839583,100.0
12022021,506184,25,126,25,125,100.0
12022021,506186,275,3526,380,4573,72.37
12022021,506194,236,9712,5260,209877,4.49
12022021,506197,31093,5630943,289311,52714283,10.75
12022021,506222,3115,3173718,5009,5132007,62.19
12022021,506235,23280,2354772,48346,4923247,48.15
12022021,506248,10922,750342,18129,1254900,60.25
12022021,506260,62396,7415765,85356,10206035,73.1
12022021,506261,20421,957745,22885,1069023,89.23
12022021,506285,1736,9003591,3552,18536197,48.87
12022021,506365,102,2666,102,2666,100.0
12022021,506390,12772,5000877,35346,14103887,36.13
12022021,506395,39824,30108936,52893,40262392,75.29
12022021,506401,46824,51979323,125662,141995965,37.26
12022021,506405,36624,7782600,44093,9288201,83.06
12022021,506414,25169,6936577,32217,8931562,78.12
12022021,506480,1624,394064,8192,2045334,19.82
12022021,506520,2147,9276,3068,13230,69.98
12022021,506525,57903,3605864,57903,3605864,100.0
12022021,506528,657,339669,760,397632,86.45
12022021,506530,85,36295,85,36295,100.0
12022021,506532,3297,564941,5977,1020431,55.16
12022021,506579,3868,3674214,5209,4942894,74.26
12022021,506590,31293,6073972,218022,43181095,14.35
12022021,506597,23040,5865984,32424,7852668,71.06
12022021,506605,122,54272,125,56707,97.6
12022021,506618,76,65360,101,86924,75.25
12022021,506642,40638,853398,49851,1030723,81.52
12022021,506655,1218,620876,4315,2194315,28.23
12022021,506685,52482,18476289,72768,25392957,72.12
12022021,506687,5880,8626254,6640,9833710,88.55
12022021,506690,4658,1441419,9029,2764959,51.59
12022021,506734,1315,79032,1340,80330,98.13
12022021,506767,1964,10505731,7769,41749281,25.28
12022021,506808,2455,17824,3819,28641,64.28
12022021,506820,2237,8212810,4953,18245862,45.16
12022021,506852,56205,3257080,68843,4025872,81.64
12022021,506854,100136,26100449,156698,39037260,63.9
12022021,506858,11,143,11,143,100.0
12022021,506879,31624,7270358,41459,9555663,76.28
12022021,506910,151,7747,151,7708,100.0
12022021,506919,24506,7041800,35979,10301747,68.11
12022021,506935,30,400,30,400,100.0
12022021,506943,13807,16574614,51283,62011884,26.92
12022021,506975,500,1330,500,1330,100.0
12022021,506981,252,23436,344,31520,73.26
12022021,507155,1499,56056,1499,56056,100.0
12022021,507180,10,389,20,776,50.0
12022021,507205,8762,240955,11045,313860,79.33
12022021,507300,2,3731,2,3731,100.0
12022021,507315,1247,11772,1601,15184,77.89
12022021,507410,12483,772074,24216,1515199,51.55
12022021,507435,49,3292,49,3292,100.0
12022021,507438,500,220050,705,307805,70.92
12022021,507442,19690,134286,26050,179009,75.59
12022021,507450,18470,108559,18470,108559,100.0
12022021,507474,958,44739,1145,54224,83.67
12022021,507486,122,2787,122,2787,100.0
12022021,507488,2047,867826,8534,3626590,23.99
12022021,507490,16697,115377,26251,181153,63.61
12022021,507498,5160,25697,5173,23881,99.75
12022021,507508,7965,32020,10066,42898,79.13
12022021,507514,14670,404892,24178,665525,60.67
12022021,507515,300,3420,300,3420,100.0
12022021,507522,170,661,170,661,100.0
12022021,507525,422,307871,441,328385,95.69
12022021,507526,52739,19175901,65182,23483863,80.91
12022021,507552,20779,1118950,26124,1410149,79.54
12022021,507580,7972,874130,9052,986617,88.07
12022021,507598,360,16740,366,17230,98.36
12022021,507621,1337,501509,1742,655907,76.75
12022021,507645,18,161854,28,253244,64.29
12022021,507685,55833,24675395,574132,255197531,9.72
12022021,507690,298,22038,313,22788,95.21
12022021,507717,1654,1259687,2791,2135152,59.26
12022021,507747,348,200831,404,232879,86.14
12022021,507753,37586,962202,48836,1259828,76.96
12022021,507759,1403,28481,1403,28886,100.0
12022021,507779,33479,4906348,41771,6238124,80.15
12022021,507785,691,50616,694,50979,99.57
12022021,507789,25000,2055000,37931,3072187,65.91
