Security Code,Security Name
507515,C.J.GELATINE PRODUCTS LTD.
507522,MOUNT SHIVALIK INDUSTRIES LTD.-$
507525,AMRIT CORP.LTD.-$
507526,ASSOCIATED ALCOHOLS & BREWERIES LTD.
507543,COROMANDEL AGRO PRODUCTS & OILS LTD.
507552,FOODS & INNS LTD.
507580,IVP LTD.
507598,Kovilpatti Lakshmi Roller Flour Mills Ltd
507609,OLYMPIC OIL INDUSTRIES LTD.
507621,MILKFOOD LTD.
507645,POLSON LTD.
507663,SAGAR SOYA PRODUCTS LTD.
507685,WIPRO LTD.
507690,ORIENT BEVERAGES LTD.
507717,DHANUKA AGRITECH LTD.
507747,TTK HEALTHCARE LTD.-$
507753,TGV Sraac Ltd
507759,LIME CHEMICALS LTD.
507779,KANPUR PLASTIPACK LTD.
507785,TAINWALA CHEMICALS & PLASTICS (INDIA) LTD.
507789,JAGSONPAL PHARMACEUTICALS LTD.
507794,KHAITAN CHEMICALS & FERTILIZERS LTD.
507808,UNITED LEASING & INDUSTRIES LTD.
507813,NATIONAL OXYGEN LTD.
507815,GILLETTE INDIA LTD.
507817,WIRES & FABRIKS (SA) LTD.
507828,Ansal Housing Ltd-$
507836,MAC CHARLES (INDIA) LTD.
507852,ADDI INDUSTRIES LTD.-$
507864,PIONEER INVESTCORP LTD.
507872,ASHNOOR TEXTILE MILLS LTD.
507878,UNITECH LTD.
507880,V.I.P.INDUSTRIES LTD.-$
507886,DHRUV ESTATES LTD.
507894,SCHABLONA INDIA LTD.
507910,FIBERWEB (INDIA) LTD.
507912,LKP Finance Limited
507917,EAST BUILDTECH LTD.
507938,MANIPAL FINANCE CORPORATION LTD.
507944,BAJAJ STEEL INDUSTRIES LTD.
507946,KIDUJA INDIA LTD.
507948,KEY CORP LTD.
507952,SHIKHAR LEASING & TRADING LTD.
507960,GUJARAT HOTELS LTD.
507962,Rajath Finance Limited
507966,RAS RESORTS & APART HOTELS LTD.
507970,PARAMOUNT COSMETICS (INDIA) LTD.
507981,JINDAL HOTELS LTD.
507987,JUPITER INDUSTRIES & LEASING LTD.
507998,SIMMONDS MARSHALL LTD.
508136,B & A LTD.
508306,LEDO TEA CO.LTD.
508486,HAWKINS COOKERS LTD.-$
508494,WARREN TEA LTD.-$
508571,COCHIN MALABAR ESTATES & INDUSTRIES LTD.
508664,BEST EASTERN HOTELS LTD.
508670,NEELAMALAI AGRO INDUSTRIES LTD.
508807,IST LTD.
508814,COSMO FILMS LTD.
508867,NEW MARKETS ADVISORY LTD.
508869,APOLLO HOSPITALS ENTERPRISE LTD.
508875,Nitin Castings Ltd
508905,SMIFS CAPITAL MARKETS LTD.
508906,EVEREST INDUSTRIES LTD.
508918,Greycells Education Limited
508922,MSR INDIA LTD.
508924,NORTHERN PROJECTS LTD.
508929,Joy Realty Limited
508933,AYM Syntex Ltd
508941,PANASONIC CARBON INDIA CO.LTD.-$
508954,Finkurve Financial Services Ltd
508956,HB LEASING & FINANCE CO.LTD.
